lng,lat,v
118.106002,27.024236,4
118.114985,27.024236,4
118.123968,27.024236,5
118.132951,27.024236,5
118.141935,27.024236,4
118.150918,27.024236,4
118.159901,27.024236,4
118.204817,27.024236,4
118.2138,27.024236,4
118.249732,27.024236,4
118.258716,27.024236,5
118.267699,27.024236,10
118.276682,27.024236,16
118.285665,27.024236,25
118.294648,27.024236,31
118.303631,27.024236,35
118.312614,27.024236,31
118.321598,27.024236,26
118.330581,27.024236,17
118.339564,27.024236,12
118.348547,27.024236,8
118.35753,27.024236,6
118.366513,27.024236,4
118.375497,27.024236,4
118.38448,27.024236,4
118.393463,27.024236,4
118.402446,27.024236,4
119.031267,27.024236,4
119.04025,27.024236,4
119.462458,27.024236,4
119.570256,27.024236,4
119.579239,27.024236,4
119.588222,27.024236,4
119.597205,27.024236,5
119.606189,27.024236,5
119.615172,27.024236,5
119.624155,27.024236,5
119.633138,27.024236,5
119.642121,27.024236,5
119.651104,27.024236,5
119.660087,27.024236,6
119.669071,27.024236,6
119.678054,27.024236,6
119.687037,27.024236,6
119.69602,27.024236,5
119.705003,27.024236,4
119.713986,27.024236,4
119.758902,27.024236,4
119.776868,27.024236,4
119.785852,27.024236,4
120.136195,27.024236,4
120.145178,27.024236,4
120.154161,27.024236,4
120.163144,27.024236,4
120.172127,27.024236,4
120.18111,27.024236,4
120.190093,27.024236,4
120.199077,27.024236,4
120.20806,27.024236,4
120.217043,27.024236,4
120.226026,27.024236,4
120.235009,27.024236,4
120.243992,27.024236,4
120.252976,27.024236,4
120.261959,27.024236,4
120.270942,27.024236,6
120.279925,27.024236,5
120.288908,27.024236,6
120.297891,27.024236,5
120.306874,27.024236,4
120.315858,27.024236,4
121.663331,27.024236,4
121.672314,27.024236,4
121.86096,27.024236,4
121.869943,27.024236,4
121.914859,27.024236,4
121.923842,27.024236,4
121.932825,27.024236,4
121.941808,27.024236,5
121.950791,27.024236,4
121.959775,27.024236,4
121.968758,27.024236,4
121.977741,27.024236,4
121.986724,27.024236,4
121.995707,27.024236,4
122.00469,27.024236,4
122.292151,27.024236,4
122.301134,27.024236,4
122.310118,27.024236,4
122.319101,27.024236,4
122.328084,27.024236,4
122.435882,27.024236,4
122.453848,27.024236,4
122.498764,27.024236,4
122.507747,27.024236,4
122.51673,27.024236,4
122.525713,27.024236,4
122.534696,27.024236,4
122.543679,27.024236,4
122.552663,27.024236,4
122.561646,27.024236,4
122.570629,27.024236,4
122.579612,27.024236,4
122.588595,27.024236,4
122.597578,27.024236,4
122.606562,27.024236,4
122.929955,27.024236,4
122.938938,27.024236,4
122.947921,27.024236,4
122.956905,27.024236,4
118.106002,27.032238,4
118.114985,27.032238,4
118.123968,27.032238,5
118.132951,27.032238,5
118.141935,27.032238,4
118.150918,27.032238,4
118.249732,27.032238,4
118.258716,27.032238,8
118.267699,27.032238,13
118.276682,27.032238,19
118.285665,27.032238,31
118.294648,27.032238,38
118.303631,27.032238,43
118.312614,27.032238,40
118.321598,27.032238,37
118.330581,27.032238,30
118.339564,27.032238,23
118.348547,27.032238,15
118.35753,27.032238,10
118.366513,27.032238,6
118.375497,27.032238,5
118.38448,27.032238,4
118.393463,27.032238,4
118.402446,27.032238,4
119.022284,27.032238,4
119.031267,27.032238,4
119.04025,27.032238,4
119.462458,27.032238,4
119.471441,27.032238,4
119.480424,27.032238,4
119.489408,27.032238,4
119.498391,27.032238,4
119.507374,27.032238,4
119.516357,27.032238,4
119.52534,27.032238,4
119.534323,27.032238,4
119.561273,27.032238,4
119.570256,27.032238,4
119.579239,27.032238,4
119.588222,27.032238,4
119.597205,27.032238,5
119.606189,27.032238,5
119.615172,27.032238,5
119.624155,27.032238,5
119.633138,27.032238,5
119.642121,27.032238,5
119.651104,27.032238,5
119.660087,27.032238,6
119.669071,27.032238,6
119.678054,27.032238,7
119.687037,27.032238,7
119.69602,27.032238,6
119.705003,27.032238,5
119.713986,27.032238,4
119.722969,27.032238,4
119.731953,27.032238,4
119.749919,27.032238,4
120.145178,27.032238,4
120.154161,27.032238,4
120.163144,27.032238,4
120.172127,27.032238,4
120.190093,27.032238,4
120.199077,27.032238,4
120.20806,27.032238,5
120.217043,27.032238,5
120.226026,27.032238,5
120.235009,27.032238,5
120.243992,27.032238,5
120.252976,27.032238,6
120.261959,27.032238,7
120.270942,27.032238,9
120.279925,27.032238,8
120.288908,27.032238,9
120.297891,27.032238,8
120.306874,27.032238,6
120.315858,27.032238,4
120.324841,27.032238,4
120.333824,27.032238,4
120.342807,27.032238,4
121.914859,27.032238,4
121.923842,27.032238,4
121.932825,27.032238,4
121.941808,27.032238,4
121.950791,27.032238,4
121.959775,27.032238,4
121.968758,27.032238,4
121.977741,27.032238,4
121.986724,27.032238,4
122.00469,27.032238,4
122.283168,27.032238,4
122.292151,27.032238,4
122.301134,27.032238,4
122.310118,27.032238,4
122.319101,27.032238,4
122.328084,27.032238,4
122.337067,27.032238,4
122.489781,27.032238,4
122.498764,27.032238,4
122.507747,27.032238,4
122.51673,27.032238,4
122.525713,27.032238,4
122.534696,27.032238,4
122.543679,27.032238,4
122.552663,27.032238,4
122.561646,27.032238,4
122.570629,27.032238,4
122.579612,27.032238,4
122.588595,27.032238,4
122.597578,27.032238,4
122.696393,27.032238,4
122.911989,27.032238,4
122.920972,27.032238,4
122.929955,27.032238,4
122.938938,27.032238,4
122.947921,27.032238,4
122.956905,27.032238,4
118.106002,27.040239,4
118.114985,27.040239,4
118.123968,27.040239,4
118.132951,27.040239,4
118.141935,27.040239,4
118.150918,27.040239,4
118.249732,27.040239,4
118.258716,27.040239,7
118.267699,27.040239,11
118.276682,27.040239,19
118.285665,27.040239,29
118.294648,27.040239,38
118.303631,27.040239,44
118.312614,27.040239,45
118.321598,27.040239,41
118.330581,27.040239,34
118.339564,27.040239,27
118.348547,27.040239,18
118.35753,27.040239,11
118.366513,27.040239,8
118.375497,27.040239,5
118.38448,27.040239,4
118.393463,27.040239,4
118.402446,27.040239,4
119.022284,27.040239,4
119.031267,27.040239,4
119.04025,27.040239,4
119.462458,27.040239,4
119.471441,27.040239,4
119.480424,27.040239,4
119.489408,27.040239,4
119.498391,27.040239,4
119.507374,27.040239,4
119.516357,27.040239,5
119.52534,27.040239,5
119.534323,27.040239,5
119.543306,27.040239,5
119.55229,27.040239,5
119.561273,27.040239,5
119.570256,27.040239,5
119.579239,27.040239,4
119.588222,27.040239,4
119.597205,27.040239,5
119.606189,27.040239,5
119.615172,27.040239,6
119.624155,27.040239,6
119.633138,27.040239,6
119.642121,27.040239,6
119.651104,27.040239,6
119.660087,27.040239,6
119.669071,27.040239,6
119.678054,27.040239,7
119.687037,27.040239,6
119.69602,27.040239,5
119.705003,27.040239,4
119.713986,27.040239,4
119.722969,27.040239,4
119.857717,27.040239,4
120.190093,27.040239,4
120.199077,27.040239,5
120.20806,27.040239,5
120.217043,27.040239,6
120.226026,27.040239,6
120.235009,27.040239,6
120.243992,27.040239,6
120.252976,27.040239,6
120.261959,27.040239,8
120.270942,27.040239,13
120.279925,27.040239,14
120.288908,27.040239,14
120.297891,27.040239,13
120.306874,27.040239,9
120.315858,27.040239,7
120.324841,27.040239,4
120.333824,27.040239,4
121.851977,27.040239,4
121.959775,27.040239,4
122.292151,27.040239,4
122.301134,27.040239,4
122.310118,27.040239,4
122.319101,27.040239,5
122.328084,27.040239,4
122.498764,27.040239,4
122.507747,27.040239,4
122.51673,27.040239,4
122.525713,27.040239,4
122.534696,27.040239,4
122.543679,27.040239,4
122.552663,27.040239,4
122.561646,27.040239,4
122.570629,27.040239,4
122.579612,27.040239,4
122.588595,27.040239,4
122.597578,27.040239,4
122.714359,27.040239,4
122.723343,27.040239,4
122.732326,27.040239,4
122.741309,27.040239,4
122.903006,27.040239,4
122.911989,27.040239,4
122.920972,27.040239,4
122.929955,27.040239,4
122.938938,27.040239,4
122.947921,27.040239,4
122.956905,27.040239,4
118.240749,27.04824,4
118.249732,27.04824,5
118.258716,27.04824,6
118.267699,27.04824,8
118.276682,27.04824,14
118.285665,27.04824,21
118.294648,27.04824,27
118.303631,27.04824,34
118.312614,27.04824,42
118.321598,27.04824,40
118.330581,27.04824,36
118.339564,27.04824,28
118.348547,27.04824,19
118.35753,27.04824,14
118.366513,27.04824,8
118.375497,27.04824,5
118.38448,27.04824,4
118.393463,27.04824,4
119.04025,27.04824,4
119.345677,27.04824,4
119.35466,27.04824,4
119.363643,27.04824,4
119.372627,27.04824,4
119.38161,27.04824,4
119.471441,27.04824,4
119.480424,27.04824,4
119.489408,27.04824,4
119.498391,27.04824,4
119.507374,27.04824,5
