name,owner,lat,lng
Eichenzell,Eichenzell,50.488351,9.708473
HohenloheNord,HohenloheNord,49.207007,9.639273
HohenloheSüd,HohenloheSüd,49.205379,9.639696
Neumarkt,Neumarkt,49.312948,11.474745
BadHonnef,BadHonnef,50.647664,7.334521
BrohltalOst,BrohltalOst,50.440471,7.225629
GruibingenSüd,GruibingenSüd,48.605321,9.632807
BrohltalWest,BrohltalWest,50.441534,7.223985
WunnensteinOst,WunnensteinOst,49.045334,9.266223
Himmelkron,Himmelkron,50.055972,11.609148
NeckarburgWest,NeckarburgWest,48.205930,8.621045
LonetalWest,LonetalWest,48.583937,10.175605
DemminerLand,DemminerLand,53.855673,13.333344
BruchsalWest,BruchsalWest,49.161250,8.567226
NeckarburgOst,NeckarburgOst,48.206218,8.627155
MahlbergWest,MahlbergWest,48.309517,7.788855
Hohenwarsleben,Hohenwarsleben,52.173933,11.495112
BuddikateOst,BuddikateOst,53.694396,10.324738
WunnensteinWest,WunnensteinWest,49.044276,9.261639
IonityAutohofNahetal,IonityAutohofNahetal,49.925715,7.936863
AalbekWest,AalbekWest,54.092717,9.929218
BuddikateWest,BuddikateWest,53.692479,10.320345
FörsterKunststofftechnikGmbH,FörsterKunststofftechnikGmbH,49.496167,11.832750
AufderSchanz,AufderSchanz,49.252400,7.258190
GlevinerPlatz,GlevinerPlatz,53.791107,12.180555
expertJöhnk,expertJöhnk,54.452776,9.833268
Fastned,Fastned,48.415836,10.099343
THENEWMOTION,THENEWMOTION,50.084391,8.839130
RaststätteOstetalSüd,RaststätteOstetalSüd,53.299194,9.535139
ShellRecharge/EnBW,ShellRecharge/EnBW,50.382190,7.269410
WarsteinerWelt,WarsteinerWelt,51.426186,8.355103
ThüringerWaldSüd,ThüringerWaldSüd,50.724708,10.847168
BayerischerWaldNord,BayerischerWaldNord,48.931751,12.708247
WeiskirchenSüd,WeiskirchenSüd,50.054708,8.908177
GoldbachNord,GoldbachNord,53.000606,9.179514
GoldbachSüd,GoldbachSüd,52.998531,9.181213
